user_id,user_screen_name,indegree,outdegree,bad_user_id
147240385,Barra_Fake,540,34,119586070
97515585,Thamiris1996,229,294,86129642
164770319,ReehMuruci,3821,2827,132235657
184345993,LAUPAJU,27,208,147868857
14900835,DJBizonee,333,193,109202294
186839219,GabrielEXOR,931,1983,148324958
134204586,Chrisfn,14287,367,111009212
178869696,RealJedwardFans,624,678,144395816
16248047,KathyBurstein,1061,596,108120608
181997608,linguadmuskito,2919,3299,146257387
111649727,XNaaan,221,648,96922932
120622892,bigstel,1270,270,101245472
132579033,thiago_latalisa,18540,149,111799862
18273092,resonantcoach,15265,16052,3106867
186521288,UltimateJedward,671,689,148170970
172919904,TrendyKidMarket,145,406,144351655
189275667,wwwgudzilla,241,1093,149912773
194390819,02_vanessa,108,264,154653502
42419914,MessiasDeeJah,34703,15643,27239251
81484324,Man_4u,119,142,153442893
20889901,tonygatz,200,209,4880289
12796402,RebekahMonson,968,840,98998504
1186,chrismessina,26738,1884,473212
19314113,shancornwall,342,105,9350765
30670699,salutbethany,23,34,143918528
194727050,maahsoarees_,40,60,155144475
63326368,anapaulasilver,729,1926,33430043
134307552,niffcity,52,199,110795668
15532932,gl33p,552,705,1035426
71240190,daanRF,674,190,142093100
193529490,monaqq,201,173,153465811
67773460,zollieweb,361,61,50246126
33069320,marcos_froes,135,154,12706680
12699932,SunSentinel,10208,5744,3158705
141719121,wendyrawley,2076,768,115735818
22980360,SAfamilystore,141,317,6243156
189758250,StockNewsAus,1,0,149620510
62181556,FixMyTeam,361,143,139291634
126643619,robinbfrederick,85,0,105150256
11984902,silvakreuz,2043,2247,271749
6320592,estellevw,588,82,79388
10271412,byoogle,717,186,50244
190031526,camiilladesouza,887,1973,149747246
179573421,JedSupporter,1434,1554,146844638
157638546,UKLovesJedward,494,161,127170177
2822851,geekboys,1157,117,4407169
160715929,paullaariane_,934,1996,129423794
17951273,DiegoSaysMeow,857,707,131339619
121734754,ilikerashersrss,83,0,101877252
41165593,StephenKirk,283,228,17849709
19792085,TheSatchreport,1460,1696,4156458
14286954,AgustinaP,2759,1269,3399179
69721102,AndersonFreiree,2092,2483,90246862
20863618,danheinz,622,361,7086693
106775892,socialmediafltr,1972,0,91740000
41257998,AMP_events_BOS,1591,1952,19426634
129720257,Pelleiy,1201,1999,140265668
20844048,PrettyGoodIdeas,566,452,122900051
183710231,pitter01,1773,1998,65945377
170000923,Ehrikynha,409,120,150120930
187982792,kayleighsjae,436,655,148904980
123202500,JonnyAtVero,50,100,102903319
153500482,neronote,121,431,124078390
117436229,joyoglesby,494,408,100055371
115775519,JedwardIreland,940,438,97758729
5464102,flowdi,228,147,702291
51479308,naysilva93,860,912,106988803
128661112,Miguel_Funes,879,2001,140965509
92859823,geekgum,419,109,81223778
18993707,SunSentinelBiz,1341,903,141644566
64272908,memorysnack,38,130,87800146
89042310,entremares,839,387,8575754
190769741,VinneDik,983,1091,150189399
159491615,M_1974,1308,1397,128540340
178909580,erickztk,4,4,144472106
111290711,EmmaaJedwaard,341,241,125688879
17119314,claycaldwell,342,451,2264999
78719792,cashnsaveceo,714,1689,64797398
101899064,NykolleK,840,779,148964341
104563825,_tbc_,7460,6756,90252076
15808468,ackernaut,345,499,1248031
188970868,Imagenario,38,100,149549657
24459005,yolizca,505,494,7223482
17545600,johnnygaunt,65,70,2556913
123966082,ONG_NoStress,150,176,103340091
55638868,lucaskolo,66,56,90649497
35031329,sciguyaj,223,130,142556174
111672332,gmalhotra23,702,448,141706472
141921382,CATALLOG_RU,4831,4523,115882037
183529263,puccaestrelinha,1178,1283,146735337
141250326,DiegoCarvalhow,13431,10172,139831757
186052111,EUinnovation,2740,2884,148718348
145420865,OnADge,440,79,118401420
106790928,nostressoficial,1750,1220,92883313
24594346,augustocnc,579,449,18443693
192549646,duuuduh,42,42,86606802
191493639,nada_ve2,414,1392,150765879
31397037,ThiagoBrunoPira,15644,6651,11629782
187947190,Guiibatiista,455,1356,155138762
49881092,bfmanooficial,1225,132,88299083
71827867,DANNYHFERNANDES,367,982,54543861
152715829,lalaaOliiveira,345,1979,123518086
209282197,_lawliet_,3,3,18555499
194717269,MyRestartS2,300,843,155130158
194727807,Lucas_Viana0,846,1557,155145574
154707363,kenniapacheco,248,336,125149712
113813144,EroDhanyllo,12300,3176,96444414
126708005,Raaiissaaaa,1311,1985,105366691
194717953,LetsLiveThis2,249,698,155131166
186118905,vitoroleite,8844,9906,148618299
55559091,LdaLopes,4207,1092,65420090
169397585,layramatos,777,219,151538387
133068249,carolpoyntter,768,1278,110457614
135556491,Prihh_cavallery,1923,864,111967565
177304856,Rafael_Lu,899,93,81999769
162773093,RealRailson,1749,2165,148264080
43232438,ISMALP7,173,124,151216813
69690888,Fannyecat,611,1972,59150594
113332328,jpgs07,1057,1283,149141349
146266331,BielleeQueiroz,2316,1354,118895226
186906362,clleanne,226,217,148364393
193149039,jana_martin,501,1034,152984281
32099197,GabiNorka,299,1453,17811718
107247786,Joycekalinee,543,441,91933190
130606311,luizpazette,5777,6351,151145790
173612212,robson_motta23,548,497,141199098
172995517,too_ddy,119,109,140773478
139151859,wolneyoliveira,2976,2882,113944489
122152303,carolcorreialuz,283,988,102152544
88191191,PollyWaldorf,12301,2281,101030876
74922843,rafael_auzier,740,1999,122421934
217823745,laryssace,455,555,128307698
107698139,OliviaProfeta,11138,8927,92262706
59180119,JhonyPablo,234,1011,129711647
175892224,lucasfelito,4723,846,142757731
194370610,caiotiberiio,851,1276,154622435
202288378,_heycamila,40,78,71936218
174885273,MrEltuu,107,14,142087626
190052612,Dudss_marquezz,638,685,149840941
160758347,aloulaa,208,572,129570382
116285578,dominadorainoce,2047,1306,107723469
22828847,faela_almeida,328,566,149163601
119111024,YandersonSena,170,341,154349769
135400252,RickMaceing,5660,5860,149751221
166260023,TataahViital,97,163,134221984
194397582,juskyawo,247,142,154666960
124562803,edward_13_s,4469,4420,103745623
193914098,GaabsGoulart,416,146,153964405
67706959,Giulia_Verotti,1335,546,58326337
135331481,thaay_14,141,423,111271777
146122968,marcossexyshow,1469,27,118799374
193487364,maa_camargoo,253,133,153413598
